Player	Team	Games	Position	TurnoverPct	ReboundPct	AssistPct	FieldGoalPct
Rodney Hood	UTA	59	SG	8.3	7.3	10.1	40.8
Al Horford	BOS	68	C	11.9	11.8	24.4	47.3
Danuel House	WAS	1	SG	NA	56.4	0	NA
Dwight Howard	ATL	74	C	17.5	23.5	7.8	63.3
Marcelo Huertas	LAL	23	PG	20.1	5.5	30.8	36.8
Josh Huestis	OKC	2	PF	0	16.1	15.5	54.50000000000001
Kris Humphries	ATL	56	PF	10.1	16.4	6.4	40.699999999999996
R.J. Hunter	CHI	3	SG	0	6	0	0
Serge Ibaka	TOT	79	PF	9.2	12.2	5.2	48
Serge Ibaka	ORL	56	PF	8.2	12.2	5.9	48.8
Serge Ibaka	TOR	23	PF	11.7	12.4	3.3	45.9
Andre Iguodala	GSW	76	SF	11.2	8.3	16.7	52.800000000000004
Ersan Ilyasova	TOT	82	PF	10.6	12.4	11	43.1
Ersan Ilyasova	OKC	3	PF	20	14.3	2.2	37.5
Ersan Ilyasova	PHI	53	PF	9.9	12	11.5	44
Ersan Ilyasova	ATL	26	PF	11.8	13.1	10.6	41.199999999999996
Joe Ingles	UTA	82	SF	18.2	7.6	17.1	45.2
Brandon Ingram	LAL	79	SF	12.9	7.6	10.5	40.2
Kyrie Irving	CLE	72	PG	10.3	5	29.7	47.3
Jarrett Jack	NOP	2	PG	43.6	0	20.3	66.7
Demetrius Jackson	BOS	5	PG	0	13.1	28.2	75
Pierre Jackson	DAL	8	PG	6.7	6.2	38	33.300000000000004
Reggie Jackson	DET	52	PG	13.4	4.3	30.3	41.9
LeBron James	CLE	74	SF	16.1	12.6	41.3	54.800000000000004
Al Jefferson	IND	66	C	6.1	16.8	11	49.9
Richard Jefferson	CLE	79	SF	11.8	6.9	6.6	44.6
John Jenkins	PHO	4	SG	0	4.2	11.5	40
Brandon Jennings	TOT	81	PG	17.5	5.9	30.4	35.9
Brandon Jennings	NYK	58	PG	17.8	5.7	28.6	38
Brandon Jennings	WAS	23	PG	16.2	6.6	37.2	27.400000000000002
Jonas Jerebko	BOS	78	PF	12.3	12.3	8.1	43.5
Amir Johnson	BOS	80	PF	15.7	12.6	13	57.599999999999994
